"position","cost","team","total_points","full_name"
"MID",49,"Arsenal",94,"Granit Xhaka"
"MID",41,"Arsenal",6,"Mohamed Elneny"
"DEF",42,"Arsenal",7,"Rob Holding"
"MID",47,"Arsenal",67,"Thomas Partey"
"MID",70,"Arsenal",144,"Martin Ødegaard"
"DEF",46,"Arsenal",24,"Kieran Tierney"
"MID",53,"Arsenal",0,"Nicolas Pépé"
"DEF",47,"Arsenal",110,"Benjamin White"
"FWD",67,"Arsenal",57,"Eddie Nketiah"
"MID",56,"Arsenal",10,"Emile Smith Rowe"
"MID",85,"Arsenal",149,"Bukayo Saka"
"DEF",42,"Arsenal",31,"Takehiro Tomiyasu"
"GK",49,"Arsenal",103,"Aaron Ramsdale"
"DEF",52,"Arsenal",108,"Gabriel Gabriel"
"DEF",45,"Arsenal",0,"Nuno Tavares"
"MID",65,"Arsenal",142,"Gabriel Martinelli"
"DEF",45,"Arsenal",0,"Pablo Pablo Marí"
"MID",45,"Arsenal",0,"Lucas Torreira"
"MID",47,"Arsenal",31,"Reiss Nelson"
"GK",38,"Arsenal",0,"Matt Turner"
"MID",56,"Arsenal",34,"Fábio Fábio Vieira"
"DEF",53,"Arsenal",110,"William Saliba"
"MID",46,"Arsenal",1,"Marcus Marquinhos"
"FWD",79,"Arsenal",69,"Gabriel Jesus"
"MID",66,"Arsenal",107,"Leandro Trossard"
"MID",58,"Arsenal",61,"Jorge Luiz Jorginho"
"DEF",52,"Arsenal",80,"Oleksandr Zinchenko"
"MID",44,"Arsenal",0,"Matthew Smith"
"MID",45,"Arsenal",1,"Ethan Nwaneri"
"DEF",40,"Arsenal",0,"Lino Sousa"
"GK",39,"Arsenal",0,"Karl Hein"
"MID",45,"Arsenal",0,"Amario Cozier-Duberry"
"FWD",45,"Arsenal",0,"Nathan Butler-Oyedeji"
"DEF",40,"Arsenal",0,"Jakub Kiwior"
"MID",66,"Aston Villa",32,"Philippe Coutinho"
"GK",49,"Aston Villa",78,"Emiliano Martínez"
"DEF",42,"Aston Villa",6,"Calum Chambers"
"DEF",46,"Aston Villa",42,"Lucas Digne"
"MID",49,"Aston Villa",0,"Bertrand Traoré"
"GK",39,"Aston Villa",9,"Robin Olsen"
"MID",43,"Aston Villa",2,"Morgan Sanson"
"MID",51,"Aston Villa",54,"John McGinn"
"DEF",44,"Aston Villa",0,"Kortney Hause"
"DEF",43,"Aston Villa",70,"Tyrone Mings"
"FWD",73,"Aston Villa",102,"Ollie Watkins"
"MID",43,"Aston Villa",0,"Marvelous Nakamba"
"MID",57,"Aston Villa",75,"Emiliano Buendía"
"DEF",46,"Aston Villa",45,"Matty Cash"
"DEF",44,"Aston Villa",64,"Ezri Konsa"
"MID",44,"Aston Villa",78,"Leon Bailey"
"MID",48,"Aston Villa",75,"Douglas Luiz Douglas Luiz"
"MID",52,"Aston Villa",63,"Jacob Ramsey"
"MID",45,"Aston Villa",0,"Tim Iroegbunam"
"DEF",47,"Aston Villa",3,"Diego Carlos Diego Carlos"
"MID",48,"Aston Villa",0,"Anwar El Ghazi"
"FWD",54,"Aston Villa",0,"Keinan Davis"
"MID",48,"Aston Villa",38,"Boubacar Kamara"
"FWD",42,"Aston Villa",6,"Cameron Archer"
"MID",45,"Aston Villa",0,"Jaden Philogene-Bidace"
"DEF",39,"Aston Villa",0,"Frédéric Guilbert"
"MID",47,"Aston Villa",24,"Leander Dendoncker"
"DEF",43,"Aston Villa",2,"Ludwig Augustinsson"
"DEF",40,"Aston Villa",0,"Kaine Kesler Hayden"
"DEF",43,"Aston Villa",53,"Ashley Young"
"DEF",40,"Aston Villa",0,"Lamare Bogarde"
"GK",40,"Aston Villa",0,"Filip Marschall"
"MID",45,"Aston Villa",0,"Kadan Kadan Young"
"DEF",44,"Aston Villa",19,"Alexandre Álex Moreno"
"GK",40,"Aston Villa",0,"Viljami Sinisalo"
"FWD",55,"Aston Villa",4,"Jhon Durán"
"DEF",40,"Aston Villa",0,"Sil Swinkels"
"GK",40,"Aston Villa",0,"Oliwier Zych"
"DEF",43,"Bournemouth",49,"Adam Smith"
"MID",48,"Bournemouth",4,"Junior Stanislas"
"DEF",44,"Bournemouth",11,"Ryan Fredericks"
"MID",53,"Bournemouth",0,"David Brooks"
"MID",52,"Bournemouth",2,"Jamal Lowe"
"FWD",51,"Bournemouth",51,"Kieffer Moore"
"MID",47,"Bournemouth",1,"Emiliano Marcondes"
"MID",47,"Bournemouth",63,"Jefferson Lerma"
"DEF",43,"Bournemouth",5,"Jack Stacey"
"FWD",55,"Bournemouth",76,"Dominic Solanke"
"MID",49,"Bournemouth",44,"Lewis Cook"
"MID",44,"Bournemouth",9,"Ben Pearson"
"MID",53,"Bournemouth",37,"Ryan Christie"
"MID",51,"Bournemouth",83,"Philip Billing"
"DEF",43,"Bournemouth",27,"Chris Mepham"
"GK",42,"Bournemouth",25,"Mark Travers"
"DEF",43,"Bournemouth",27,"Lloyd Kelly"
"MID",47,"Bournemouth",6,"Siriki Dembélé"
"MID",52,"Bournemouth",46,"Jaidon Anthony"
"DEF",43,"Bournemouth",47,"Jordan Zemura"
"GK",39,"Bournemouth",0,"Will Dennis"
"DEF",43,"Bournemouth",20,"Jack Stephens"
"MID",49,"Bournemouth",16,"Joe Rothwell"
"MID",47,"Bournemouth",70,"Marcus Tavernier"
"DEF",44,"Bournemouth",0,"James Hill"
"GK",40,"Bournemouth",0,"Darren Randolph"
"GK",45,"Bournemouth",47,"Norberto Neto"
"DEF",44,"Bournemouth",47,"Marcos Senesi"
"FWD",45,"Bournemouth",0,"Christian Saydee"
"DEF",40,"Bournemouth",1,"Owen Bevan"
"GK",40,"Bournemouth",0,"Cameron Plain"
"FWD",45,"Bournemouth",0,"Daniel Adu-Adjei"
"MID",44,"Bournemouth",0,"Michael Dacosta Gonzalez"
"FWD",45,"Bournemouth",0,"Dominic Sadi"
"MID",50,"Bournemouth",18,"Dango Ouattara"
"FWD",45,"Bournemouth",0,"Euan Pollock"
"FWD",50,"Bournemouth",6,"Antoine Semenyo"
"DEF",45,"Bournemouth",2,"Matías Viña"
"DEF",45,"Bournemouth",0,"Illia Zabarnyi"
"MID",45,"Bournemouth",10,"Hamed H.Traorè"
"DEF",40,"Bournemouth",0,"Ben Greenwood"
"DEF",40,"Bournemouth",0,"Max Kinsey-Wellings"
"DEF",42,"Brentford",17,"Pontus Jansson"
"MID",53,"Brentford",54,"Christian Nørgaard"
"FWD",77,"Brentford",130,"Ivan Toney"
"GK",48,"Brentford",109,"David Raya"
"DEF",50,"Brentford",5,"Sergi Canós"
"MID",41,"Brentford",59,"Josh Dasilva"
"DEF",45,"Brentford",29,"Kristoffer Ajer"
"DEF",45,"Brentford",71,"Rico Henry"
"MID",55,"Brentford",64,"Vitaly Janelt"
"MID",48,"Brentford",9,"Saman Ghoddos"
"MID",48,"Brentford",91,"Mathias Jensen"
"MID",53,"Brentford",70,"Yoane Wissa"
"DEF",43,"Brentford",37,"Mads Roerslev"
"DEF",45,"Brentford",4,"Mads Bech"
"DEF",44,"Brentford",55,"Ethan Pinnock"
"MID",48,"Brentford",18,"Frank Onyeka"
"MID",45,"Brentford",19,"Shandon Baptiste"
"FWD",58,"Brentford",84,"Bryan Mbeumo"
"DEF",39,"Brentford",0,"Charlie Goode"
"FWD",45,"Brentford",0,"Marcus Forss"
"DEF",40,"Brentford",0,"Dominic Thompson"
"MID",45,"Brentford",0,"Mads Bidstrup"
"GK",40,"Brentford",0,"Ellery Balcombe"
"DEF",49,"Brentford",26,"Aaron Hickey"
"MID",52,"Brentford",14,"Keane Lewis-Potter"
"GK",43,"Brentford",0,"Thomas Strakosha"
"DEF",51,"Brentford",96,"Ben Mee"
"DEF",40,"Brentford",0,"Fin Stevens"
"FWD",45,"Brentford",4,"Halil Dervişoğlu"
"MID",50,"Brentford",14,"Mikkel Damsgaard"
"DEF",40,"Brentford",23,"Mathias Zanka"
"MID",44,"Brentford",0,"Ryan Trevitt"
"GK",39,"Brentford",0,"Matthew Cox"
"DEF",40,"Brentford",0,"Tristan Crama"
"MID",45,"Brentford",0,"Yegor Yarmolyuk"
"MID",49,"Brentford",7,"Kevin Schade"
"MID",48,"Brighton",47,"Adam Lallana"
"GK",39,"Brighton",6,"Jason Steele"
"FWD",65,"Brighton",50,"Danny Welbeck"
"MID",54,"Brighton",103,"Pascal Groß"
"DEF",47,"Brighton",68,"Lewis Dunk"
"MID",51,"Brighton",108,"Solly March"
"DEF",45,"Brighton",49,"Adam Webster"
"DEF",46,"Brighton",74,"Joël Veltman"
"GK",46,"Brighton",81,"Robert Sánchez"
"DEF",42,"Brighton",23,"Tariq Lamptey"
"MID",44,"Brighton",0,"Steven Alzate"
"MID",54,"Brighton",84,"Alexis Mac Allister"
"MID",44,"Brighton",0,"Jakub Moder"
"MID",53,"Brighton",11,"Enock Mwepu"
"MID",45,"Brighton",15,"Jeremy Sarmiento"
"MID",50,"Brighton",51,"Moisés Caicedo"
"MID",45,"Brighton",0,"Taylor Richards"
"DEF",40,"Brighton",0,"Haydon Roberts"
"FWD",50,"Brighton",12,"Deniz Undav"
"MID",55,"Brighton",84,"Kaoru Mitoma"
"FWD",46,"Brighton",8,"Julio Enciso"
"MID",45,"Brighton",0,"Kacper Kozłowski"
"MID",42,"Brighton",7,"Billy Gilmour"
"GK",40,"Brighton",0,"Kjell Scherpen"
"DEF",40,"Brighton",0,"Matt Clarke"
"DEF",40,"Brighton",2,"Jan Paul Van Hecke"
"DEF",44,"Brighton",15,"Levi Colwill"
"DEF",48,"Brighton",70,"Pervis Estupiñán"
"FWD",46,"Brighton",33,"Evan Ferguson"
"DEF",40,"Brighton",0,"Ed Turns"
"MID",45,"Brighton",1,"Andrew Moran"
"DEF",40,"Brighton",0,"James Furlong"
"MID",45,"Brighton",0,"Jack Hinshelwood"
"MID",45,"Brighton",6,"Facundo Buonanotte"
"MID",45,"Brighton",0,"Yasin Ayari"
"DEF",40,"Brighton",0,"Odeluga Offiah"
"MID",43,"Chelsea",12,"Carney Chukwuemeka"
"DEF",50,"Chelsea",56,"Marc Cucurella"
"DEF",48,"Chelsea",40,"César Azpilicueta"
"DEF",54,"Chelsea",72,"Thiago Thiago Silva"
"DEF",53,"Chelsea",0,"Marcos Alonso"
"MID",49,"Chelsea",0,"Ross Barkley"
"MID",49,"Chelsea",29,"Mateo Kovacic"
"GK",47,"Chelsea",84,"Kepa Arrizabalaga"
"MID",48,"Chelsea",5,"N'Golo Kanté"
"MID",55,"Chelsea",22,"Hakim Ziyech"
"MID",50,"Chelsea",33,"Ruben Loftus-Cheek"
"FWD",79,"Chelsea",0,"Timo Werner"
"DEF",39,"Chelsea",0,"Robert Kenedy Kenedy"
"DEF",58,"Chelsea",47,"Ben Chilwell"
"MID",56,"Chelsea",29,"Christian Pulisic"
"DEF",44,"Chelsea",37,"Trevoh Chalobah"
"MID",72,"Chelsea",81,"Mason Mount"
"DEF",50,"Chelsea",0,"Malang Sarr"
"MID",53,"Chelsea",0,"Callum Hudson-Odoi"
"FWD",75,"Chelsea",71,"Kai Havertz"
"DEF",58,"Chelsea",31,"Reece James"
"GK",48,"Chelsea",23,"Edouard Mendy"
"MID",56,"Chelsea",35,"Conor Gallagher"
"FWD",52,"Chelsea",21,"Armando Broja"
"DEF",44,"Chelsea",0,"Ethan Ampadu"
"DEF",43,"Chelsea",20,"Wesley W.Fofana"
"MID",97,"Chelsea",68,"Raheem Sterling"
"DEF",55,"Chelsea",57,"Kalidou Koulibaly"
"MID",45,"Chelsea",0,"Harvey Vale"
"MID",49,"Chelsea",11,"Denis Zakaria"
"FWD",84,"Chelsea",22,"Pierre-Emerick Aubameyang"
"GK",40,"Chelsea",0,"Marcus Bettinelli"
"MID",43,"Chelsea",1,"Omari Hutchinson"
"MID",44,"Chelsea",8,"Lewis Hall"
"DEF",45,"Chelsea",0,"Bashir Humphreys"
"FWD",50,"Chelsea",2,"David Datro D.D.Fofana"
"DEF",50,"Chelsea",29,"Benoît Badiashile"
"FWD",76,"Chelsea",13,"João João Félix"
"MID",66,"Chelsea",6,"Mykhailo Mudryk"
"MID",45,"Chelsea",0,"Andrey Andrey Santos"
"MID",55,"Chelsea",6,"Noni Madueke"
"MID",50,"Chelsea",16,"Enzo Enzo"
"MID",43,"Crystal Palace",17,"Albert Sambi"
"GK",44,"Crystal Palace",94,"Vicente Guaita"
"DEF",39,"Crystal Palace",8,"James Tomkins"
"MID",48,"Crystal Palace",1,"James McArthur"
"FWD",55,"Crystal Palace",0,"Christian Benteke"
"DEF",44,"Crystal Palace",42,"Joel Ward"
"DEF",45,"Crystal Palace",35,"Nathaniel Clyne"
"MID",42,"Crystal Palace",14,"Luka Milivojevic"
"MID",53,"Crystal Palace",58,"Jordan J.Ayew"
"MID",72,"Crystal Palace",79,"Wilfried Zaha"
"MID",47,"Crystal Palace",55,"Jeffrey Schlupp"
"MID",48,"Crystal Palace",15,"Will Hughes"
"MID",43,"Crystal Palace",4,"Jairo Riedewald"
"DEF",45,"Crystal Palace",52,"Joachim Andersen"
"FWD",50,"Crystal Palace",51,"Odsonne Edouard"
"DEF",44,"Crystal Palace",56,"Marc Guéhi"
"FWD",51,"Crystal Palace",27,"Jean-Philippe Mateta"
"MID",54,"Crystal Palace",89,"Eberechi Eze"
"DEF",44,"Crystal Palace",59,"Tyrick Mitchell"
"MID",54,"Crystal Palace",81,"Michael Olise"
"MID",45,"Crystal Palace",0,"Jesurun Rak-Sakyi"
"MID",42,"Crystal Palace",3,"Malcolm Ebiowei"
"DEF",39,"Crystal Palace",0,"Nathan Ferguson"
"GK",44,"Crystal Palace",0,"Sam Johnstone"
"GK",40,"Crystal Palace",0,"Remi Matthews"
"FWD",45,"Crystal Palace",0,"Luke Plange"
"MID",50,"Crystal Palace",48,"Cheick C.Doucouré"
"DEF",44,"Crystal Palace",12,"Chris Richards"
"GK",40,"Crystal Palace",0,"Joseph Whitworth"
"MID",45,"Crystal Palace",0,"Kaden Rodney"
"MID",45,"Crystal Palace",0,"Killian Phillips"
"FWD",45,"Crystal Palace",0,"John-Kymani Gordon"
"DEF",40,"Crystal Palace",0,"Kofi Balmer"
"GK",40,"Crystal Palace",0,"Owen Goodman"
"MID",45,"Crystal Palace",0,"Jack Wells-Morrison"
"MID",45,"Crystal Palace",1,"David Ozoh"
"MID",45,"Crystal Palace",3,"Naouirou Ahamada"
"FWD",59,"Everton",33,"Neal Maupay"
"GK",39,"Everton",9,"Asmir Begović"
"FWD",49,"Everton",7,"Salomón Rondón"
"DEF",44,"Everton",54,"Seamus Coleman"
"MID",54,"Everton",0,"Andros Townsend"
"DEF",42,"Everton",6,"Michael Keane"
"MID",53,"Everton",2,"Dele Dele"
"GK",44,"Everton",77,"Jordan Pickford"
"MID",48,"Everton",0,"Allan Allan"
"MID",45,"Everton",0,"André André Gomes"
"MID",53,"Everton",28,"Abdoulaye A.Doucouré"
"MID",54,"Everton",88,"Alex Iwobi"
"MID",45,"Everton",0,"Jean-Philippe Gbamin"
"DEF",43,"Everton",13,"Yerry Mina"
"MID",53,"Everton",73,"Demarai Gray"
"MID",49,"Everton",15,"Tom Davies"
"FWD",79,"Everton",25,"Dominic Calvert-Lewin"
"DEF",43,"Everton",12,"Mason Holgate"
"DEF",43,"Everton",4,"Ben Godfrey"
"DEF",43,"Everton",60,"Vitalii Mykolenko"
"DEF",40,"Everton",0,"Jarrad Branthwaite"
"DEF",39,"Everton",24,"Nathan Patterson"
"DEF",40,"Everton",0,"Niels Nkounkou"
"DEF",44,"Everton",70,"James Tarkowski"
"DEF",49,"Everton",70,"Conor Coady"
"DEF",43,"Everton",2,"Rúben Vinagre"
"MID",51,"Everton",59,"Dwight McNeil"
"MID",44,"Everton",0,"Stanley Mills"
"MID",44,"Everton",0,"Lewis Warrington"
"MID",45,"Everton",5,"James Garner"
"MID",48,"Everton",59,"Amadou Onana"
"DEF",40,"Everton",0,"Reece Welch"
"MID",49,"Everton",45,"Idrissa Gueye"
"GK",40,"Everton",0,"Eldin Jakupović"
"DEF",40,"Everton",0,"Kyle John"
"FWD",45,"Everton",2,"Thomas Cannon"
"MID",45,"Everton",0,"Isaac Price"
"FWD",45,"Everton",6,"Ellis Simms"
"DEF",42,"Fulham",4,"Cédric Cédric"
"GK",45,"Fulham",101,"Bernd Leno"
"DEF",43,"Fulham",4,"Shane Duffy"
"MID",47,"Fulham",25,"Tom Cairney"
"DEF",46,"Fulham",87,"Tim Ream"
"MID",47,"Fulham",0,"Anthony Knockaert"
"MID",44,"Fulham",1,"Nathaniel Chalobah"
"MID",54,"Fulham",35,"Neeskens Kebano"
"MID",55,"Fulham",75,"Bobby De Cordova-Reid"
"DEF",44,"Fulham",0,"Joe Bryan"
"GK",40,"Fulham",0,"Paulo Gazzaniga"
"DEF",39,"Fulham",0,"Terence Kongolo"
"DEF",44,"Fulham",30,"Tosin Tosin"
"FWD",68,"Fulham",88,"Aleksandar Mitrović"
"MID",44,"Fulham",70,"Harrison Reed"
"MID",57,"Fulham",23,"Harry Wilson"
"GK",43,"Fulham",7,"Marek Rodák"
"MID",48,"Fulham",0,"Ivan Cavaleiro"
"DEF",44,"Fulham",63,"Kenny Tete"
"MID",43,"Fulham",2,"Josh Onomah"
"DEF",44,"Fulham",70,"Antonee Robinson"
"FWD",54,"Fulham",0,"Rodrigo Muniz"
"FWD",45,"Fulham",7,"Jay Stansfield"
"MID",49,"Fulham",66,"João Palhinha"
"MID",60,"Fulham",25,"Daniel James"
"MID",44,"Fulham",98,"Andreas Andreas"
"DEF",43,"Fulham",62,"Issa Diop"
"MID",44,"Fulham",1,"Tyrese Francois"
"DEF",43,"Fulham",7,"Kevin Mbabu"
"MID",44,"Fulham",3,"Luke Harris"
"MID",49,"Fulham",30,"Manor Solomon"
"FWD",45,"Fulham",0,"Terry Ablade"
"DEF",43,"Fulham",2,"Layvin Kurzawa"
"MID",55,"Fulham",73,"Willian Willian"
"FWD",54,"Fulham",37,"Carlos Vinícius Vinícius"
"DEF",40,"Fulham",0,"Stefan Parkes"
"MID",45,"Fulham",0,"Martial Godo"
"MID",45,"Fulham",0,"Kristian Sekularac"
"MID",45,"Fulham",3,"Sasa Lukic"
"GK",40,"Fulham",0,"George Wickens"
"GK",50,"Leeds",0,"Kasper Schmeichel"
"DEF",44,"Leeds",11,"Jonny Evans"
"DEF",39,"Leeds",0,"Ryan Bertrand"
"MID",47,"Leeds",13,"Marc Albrighton"
"MID",43,"Leeds",22,"Nampalys Mendy"
"DEF",39,"Leeds",0,"Jannik Vestergaard"
"GK",40,"Leeds",89,"Danny Ward"
"FWD",91,"Leeds",54,"Jamie Vardy"
"DEF",43,"Leeds",4,"Ricardo Ricardo"
"DEF",40,"Leeds",46,"Daniel Amartey"
"DEF",44,"Leeds",80,"Timothy Castagne"
"MID",61,"Leeds",67,"Youri Tielemans"
"MID",47,"Leeds",19,"Ayoze Pérez"
"MID",81,"Leeds",99,"James Maddison"
"FWD",62,"Leeds",55,"Kelechi Iheanacho"
"MID",45,"Leeds",0,"Hamza Choudhury"
"MID",67,"Leeds",94,"Harvey Barnes"
"MID",48,"Leeds",23,"Wilfred Ndidi"
"MID",49,"Leeds",71,"Kiernan Dewsbury-Hall"
"DEF",42,"Leeds",2,"Çaglar Söyüncü"
"DEF",42,"Leeds",45,"James Justin"
"MID",44,"Leeds",27,"Boubakary Soumaré"
"DEF",40,"Leeds",17,"Luke Thomas"
"FWD",56,"Leeds",46,"Patson Daka"
"DEF",39,"Leeds",1,"Lewis Brunt"
"GK",38,"Leeds",0,"Daniel Iversen"
"MID",48,"Leeds",27,"Dennis Praet"
"GK",39,"Leeds",0,"Alex Smithies"
"DEF",42,"Leeds",46,"Wout Faes"
"MID",45,"Leeds",0,"Sammy Braybrooke"
"DEF",40,"Leeds",0,"Joe Wormleighton"
"MID",45,"Leeds",0,"Kasey McAteer"
"DEF",45,"Leeds",6,"Victor Kristiansen"
"MID",55,"Leeds",16,"Mateus Tetê"
"DEF",45,"Leeds",8,"Harry Souttar"
"MID",45,"Leeds",0,"Wanya Marçal-Madivadua"
"DEF",44,"Leicester",30,"Liam Cooper"
"DEF",45,"Leicester",38,"Luke Ayling"
"MID",46,"Leicester",12,"Mateusz Klich"
"MID",44,"Leicester",6,"Adam Forshaw"
"MID",63,"Leicester",92,"Rodrigo Rodrigo"
"DEF",49,"Leicester",0,"Stuart Dallas"
"FWD",72,"Leicester",35,"Patrick Bamford"
"DEF",44,"Leicester",16,"Diego Llorente"
"MID",50,"Leicester",0,"Tyler Roberts"
