"position","cost","team","total_points","full_name"
"DEF",45,"Leicester",48,"Robin Koch"
"MID",70,"Leicester",0,"Raphael Raphinha"
"MID",58,"Leicester",74,"Jack Harrison"
"MID",45,"Leicester",0,"Jamie Shackleton"
"DEF",45,"Leicester",62,"Pascal Struijk"
"GK",39,"Leicester",0,"Kristoffer Klaesson"
"FWD",41,"Leicester",27,"Sam Greenwood"
"GK",45,"Leicester",80,"Illan Meslier"
"DEF",45,"Leicester",23,"Junior Firpo"
"MID",42,"Leicester",59,"Crysencio Summerville"
"MID",45,"Leicester",0,"Lewis Bate"
"FWD",51,"Leicester",20,"Joe Gelhardt"
"DEF",39,"Leicester",0,"Leo Fuhr Hjelde"
"DEF",47,"Leicester",28,"Rasmus Kristensen"
"MID",48,"Leicester",42,"Marc Roca"
"MID",53,"Leicester",62,"Brenden Aaronson"
"MID",42,"Leicester",1,"Darko Gyabi"
"MID",49,"Leicester",45,"Tyler Adams"
"MID",65,"Leicester",25,"Luis Sinisterra"
"DEF",40,"Leicester",1,"Cody Drameh"
"MID",45,"Leicester",0,"Archie Gray"
"GK",40,"Leicester",0,"Joel Robles"
"FWD",50,"Leicester",37,"Wilfried Gnonto"
"FWD",45,"Leicester",3,"Mateo Joseph Mateo Joseph"
"FWD",45,"Leicester",0,"Sonny Perkins"
"DEF",45,"Leicester",21,"Maximilian Wöber"
"FWD",53,"Leicester",7,"Georginio Rutter"
"MID",48,"Leicester",9,"Weston McKennie"
"DEF",40,"Leicester",0,"Jeremiah Chilokoa-Mullen"
"DEF",40,"Leicester",0,"Diogo Monteiro"
"MID",44,"Liverpool",30,"James Milner"
"MID",53,"Liverpool",39,"Jordan Henderson"
"DEF",59,"Liverpool",21,"Joel Matip"
"MID",51,"Liverpool",26,"Thiago Thiago"
"MID",49,"Liverpool",19,"Alex Chamberlain"
"FWD",80,"Liverpool",81,"Roberto Firmino"
"DEF",65,"Liverpool",94,"Virgil Van Dijk"
"GK",54,"Liverpool",117,"Alisson Alisson"
"MID",52,"Liverpool",41,"Fabio Henrique Fabinho"
"MID",127,"Liverpool",154,"Mohamed Salah"
"DEF",68,"Liverpool",89,"Andrew Robertson"
"DEF",73,"Liverpool",94,"Trent Alexander-Arnold"
"DEF",43,"Liverpool",62,"Joseph Gomez"
"MID",47,"Liverpool",10,"Naby Keita"
"FWD",88,"Liverpool",18,"Diogo Diogo Jota"
"GK",40,"Liverpool",0,"Caoimhin Kelleher"
"DEF",48,"Liverpool",21,"Ibrahima Konaté"
"MID",49,"Liverpool",7,"Curtis Jones"
"DEF",44,"Liverpool",35,"Konstantinos Tsimikas"
"MID",78,"Liverpool",39,"Luis Luis Díaz"
"MID",49,"Liverpool",54,"Harvey Elliott"
"MID",51,"Liverpool",25,"Fábio Carvalho"
"FWD",88,"Liverpool",79,"Darwin Darwin"
"DEF",39,"Liverpool",0,"Calvin Ramsay"
"GK",39,"Liverpool",0,"Adrián Adrián"
"DEF",40,"Liverpool",0,"Rhys R.Williams"
"DEF",40,"Liverpool",0,"Ben Davies"
"DEF",40,"Liverpool",0,"Sepp Van den Berg"
"DEF",39,"Liverpool",3,"Nathaniel Phillips"
"DEF",40,"Liverpool",0,"Luke Chambers"
"MID",44,"Liverpool",20,"Stefan Bajcetic"
"MID",45,"Liverpool",1,"Bobby Clark"
"GK",40,"Liverpool",0,"Harvey H.Davies"
"MID",48,"Liverpool",0,"Arthur Henrique Arthur"
"MID",45,"Liverpool",2,"Ben Doak"
"MID",77,"Liverpool",39,"Cody Gakpo"
"DEF",48,"Manchester City",39,"Kyle Walker"
"MID",73,"Manchester City",78,"Ilkay Gündogan"
"MID",122,"Manchester City",128,"Kevin De Bruyne"
"DEF",54,"Manchester City",54,"John Stones"
"MID",76,"Manchester City",83,"Riyad Mahrez"
"MID",68,"Manchester City",78,"Jack Grealish"
"DEF",71,"Manchester City",73,"João Cancelo"
"GK",54,"Manchester City",92,"Ederson Ederson"
"DEF",51,"Manchester City",58,"Nathan Aké"
"DEF",57,"Manchester City",21,"Aymeric Laporte"
"GK",40,"Manchester City",0,"Zack Steffen"
"MID",68,"Manchester City",91,"Bernardo Bernardo"
"DEF",59,"Manchester City",54,"Rúben Dias"
"MID",80,"Manchester City",108,"Phil Foden"
"MID",56,"Manchester City",85,"Rodrigo Rodri"
"MID",43,"Manchester City",8,"Cole Palmer"
"MID",45,"Manchester City",0,"James McAtee"
"FWD",122,"Manchester City",197,"Erling Haaland"
"FWD",60,"Manchester City",56,"Julián Álvarez"
"DEF",39,"Manchester City",0,"Luke Mbete"
"DEF",38,"Manchester City",0,"Josh Wilson-Esbrand"
"FWD",44,"Manchester City",0,"Liam Delap"
"GK",38,"Manchester City",0,"Stefan Ortega"
"MID",48,"Manchester City",4,"Kalvin Phillips"
"GK",38,"Manchester City",0,"Scott Carson"
"DEF",39,"Manchester City",17,"Rico Lewis"
"DEF",45,"Manchester City",8,"Sergio Sergio Gómez"
"MID",45,"Manchester City",0,"Claudio Gomes"
"MID",45,"Manchester City",0,"Ben Knight"
"DEF",50,"Manchester City",54,"Manuel Akanji"
"MID",44,"Manchester City",1,"Máximo Perrone"
"GK",44,"Manchester United",0,"Jack Butland"
"FWD",102,"Manchester United",20,"Cristiano Ronaldo Ronaldo"
"GK",50,"Manchester United",96,"David De Gea"
"DEF",39,"Manchester United",0,"Phil Jones"
"DEF",48,"Manchester United",48,"Raphaël Varane"
"DEF",47,"Manchester United",23,"Harry Maguire"
"MID",51,"Manchester United",44,"Frederico Fred"
"DEF",52,"Manchester United",89,"Luke Shaw"
"MID",98,"Manchester United",116,"Bruno Fernandes"
"DEF",50,"Manchester United",0,"Alex Telles"
"MID",73,"Manchester United",153,"Marcus Rashford"
"MID",51,"Manchester United",8,"Donny Van de Beek"
"DEF",41,"Manchester United",21,"Victor Lindelöf"
"MID",49,"Manchester United",19,"Scott McTominay"
"DEF",40,"Manchester United",0,"Eric Bailly"
"MID",71,"Manchester United",55,"Jadon Sancho"
"DEF",43,"Manchester United",31,"Aaron Wan-Bissaka"
"DEF",47,"Manchester United",67,"Diogo Dalot"
"DEF",38,"Manchester United",0,"Brandon B.Williams"
"MID",47,"Manchester United",23,"Anthony Elanga"
"FWD",63,"Manchester United",32,"Anthony Martial"
"MID",43,"Manchester United",1,"Facundo Pellistri"
"GK",39,"Manchester United",0,"Tom Heaton"
"DEF",42,"Manchester United",43,"Tyrell Malacia"
"MID",62,"Manchester United",74,"Christian Eriksen"
"DEF",45,"Manchester United",58,"Lisandro Martínez"
"MID",44,"Manchester United",0,"Amad Amad"
"MID",42,"Manchester United",0,"Zidane Iqbal"
"MID",42,"Manchester United",29,"Alejandro Garnacho"
"MID",49,"Manchester United",58,"Carlos Henrique Casemiro"
"MID",73,"Manchester United",41,"Antony Matheus Antony"
"GK",40,"Manchester United",0,"Matej Kovár"
"MID",45,"Manchester United",1,"Kobbie Mainoo"
"GK",40,"Manchester United",0,"Nathan Bishop"
"FWD",45,"Manchester United",0,"Shola Shoretire"
"DEF",40,"Manchester United",0,"Rhys Bennett"
"FWD",58,"Manchester United",14,"Wout Weghorst"
"MID",48,"Manchester United",9,"Marcel Sabitzer"
"MID",51,"Newcastle",47,"Anthony Gordon"
"DEF",42,"Newcastle",3,"Matt Ritchie"
"DEF",44,"Newcastle",0,"Federico Fernández"
"DEF",45,"Newcastle",0,"Ciaran Clark"
"GK",39,"Newcastle",0,"Karl Darlow"
"GK",41,"Newcastle",8,"Martin Dubravka"
"FWD",69,"Newcastle",73,"Callum Wilson"
"DEF",60,"Newcastle",147,"Kieran Trippier"
"DEF",45,"Newcastle",92,"Dan Burn"
"MID",52,"Newcastle",11,"Ryan Fraser"
"DEF",43,"Newcastle",1,"Jamaal Lascelles"
"FWD",45,"Newcastle",0,"Dwight Gayle"
"DEF",39,"Newcastle",0,"Paul Dummett"
"DEF",42,"Newcastle",1,"Javier Manquillo"
"DEF",43,"Newcastle",1,"Emil Krafth"
"MID",41,"Newcastle",39,"Jacob Murphy"
"DEF",51,"Newcastle",102,"Fabian Schär"
"DEF",47,"Newcastle",24,"Matt Targett"
"MID",61,"Newcastle",45,"Allan Saint-Maximin"
"MID",54,"Newcastle",127,"Miguel Almirón"
"MID",43,"Newcastle",71,"Sean S.Longstaff"
"MID",59,"Newcastle",64,"Joelinton Cássio Joelinton"
"DEF",44,"Newcastle",1,"Jamal Lewis"
"MID",47,"Newcastle",74,"Joe Willock"
"MID",55,"Newcastle",67,"Bruno Bruno Guimarães"
"MID",45,"Newcastle",0,"Jeff Hendrick"
"GK",54,"Newcastle",106,"Nick Pope"
"DEF",45,"Newcastle",90,"Sven Botman"
"MID",44,"Newcastle",11,"Elliot Anderson"
"DEF",38,"Newcastle",0,"Harrison Ashby"
"FWD",66,"Newcastle",32,"Alexander Isak"
"GK",39,"Newcastle",0,"Loris Karius"
"MID",45,"Newcastle",0,"Garang Kuol"
"MID",45,"Newcastle",0,"Lewis Miley"
"DEF",39,"Nottingham Forest",41,"Neco N.Williams"
"MID",48,"Nottingham Forest",11,"Jonjo Shelvey"
"FWD",56,"Nottingham Forest",52,"Chris Wood"
"MID",41,"Nottingham Forest",0,"Harry Arter"
"DEF",43,"Nottingham Forest",20,"Steve Cook"
"FWD",41,"Nottingham Forest",0,"Lyle Lyle Taylor"
"MID",41,"Nottingham Forest",14,"Jack Colback"
"GK",45,"Nottingham Forest",0,"Brice Samba"
"MID",42,"Nottingham Forest",1,"Carlos Cafú"
"MID",49,"Nottingham Forest",0,"Joe Lolley"
"DEF",44,"Nottingham Forest",38,"Scott McKenna"
"DEF",40,"Nottingham Forest",0,"Mohamed Dräger"
"MID",50,"Nottingham Forest",42,"Ryan Yates"
"DEF",42,"Nottingham Forest",37,"Joe Worrall"
"DEF",40,"Nottingham Forest",0,"Jonathan Panzo"
"MID",50,"Nottingham Forest",0,"Xande Xande Silva"
"FWD",47,"Nottingham Forest",21,"Sam Surridge"
"DEF",45,"Nottingham Forest",0,"Richie Laryea"
"DEF",42,"Nottingham Forest",0,"Loïc Mbe Soh"
"FWD",57,"Nottingham Forest",91,"Brennan Johnson"
"MID",49,"Nottingham Forest",1,"Alex Mighten"
"MID",45,"Nottingham Forest",0,"Braian Ojeda"
"FWD",56,"Nottingham Forest",50,"Taiwo Awoniyi"
"GK",46,"Nottingham Forest",82,"Dean Henderson"
"DEF",42,"Nottingham Forest",2,"Giulian Biancone"
"DEF",42,"Nottingham Forest",33,"Willy Boly"
"MID",55,"Nottingham Forest",88,"Morgan Gibbs-White"
"DEF",43,"Nottingham Forest",7,"Moussa Niakhaté"
"DEF",44,"Nottingham Forest",0,"Omar Richards"
"GK",39,"Nottingham Forest",4,"Wayne Hennessey"
"DEF",43,"Nottingham Forest",20,"Harry Toffolo"
"MID",48,"Nottingham Forest",22,"Lewis O'Brien"
"MID",54,"Nottingham Forest",31,"Jesse Lingard"
"MID",49,"Nottingham Forest",22,"Orel Mangala"
"MID",43,"Nottingham Forest",0,"Oliver Hammond"
"MID",49,"Nottingham Forest",43,"Remo Freuler"
"MID",44,"Nottingham Forest",27,"Cheikhou Kouyaté"
"FWD",56,"Nottingham Forest",22,"Emmanuel Dennis"
"DEF",43,"Nottingham Forest",37,"Renan Augusto Renan Lodi"
"DEF",45,"Nottingham Forest",0,"Loïc Badé"
"DEF",44,"Nottingham Forest",55,"Serge Aurier"
"FWD",45,"Nottingham Forest",0,"Dale Dale Taylor"
"GK",40,"Nottingham Forest",0,"Jordan Smith"
"MID",48,"Nottingham Forest",3,"Gustavo Henrique Scarpa"
"MID",45,"Nottingham Forest",2,"Danilo Danilo"
"GK",45,"Nottingham Forest",15,"Keylor Navas"
"DEF",45,"Nottingham Forest",3,"Felipe Augusto Felipe"
"MID",50,"Nottingham Forest",5,"André A.Ayew"
"MID",48,"Southampton",23,"Ainsley Maitland-Niles"
"MID",45,"Southampton",31,"Roméo Lavia"
"MID",48,"Southampton",9,"Theo Walcott"
"GK",43,"Southampton",0,"Alex McCarthy"
"MID",48,"Southampton",2,"Oriol Romeu"
"MID",53,"Southampton",1,"Nathan Redmond"
"MID",47,"Southampton",34,"Stuart S.Armstrong"
"MID",52,"Southampton",42,"Mohamed Elyounoussi"
"MID",63,"Southampton",90,"James Ward-Prowse"
"FWD",54,"Southampton",42,"Adam A.Armstrong"
"DEF",44,"Southampton",39,"Kyle Walker-Peters"
"DEF",42,"Southampton",20,"Jan Bednarek"
"FWD",61,"Southampton",77,"Che Adams"
"MID",50,"Southampton",0,"Nathan Tella"
"DEF",44,"Southampton",15,"Lyanco Lyanco"
"DEF",40,"Southampton",0,"Yan Valery"
"MID",45,"Southampton",0,"Will Smallbone"
"MID",42,"Southampton",17,"Ibrahima Diallo"
"DEF",41,"Southampton",59,"Romain Perraud"
"MID",50,"Southampton",20,"Moussa Djenepo"
"DEF",44,"Southampton",0,"Tino Livramento"
"DEF",43,"Southampton",32,"Mohammed Salisu"
"GK",40,"Southampton",0,"Mateusz Lis"
"GK",45,"Southampton",70,"Gavin Bazunu"
"DEF",45,"Southampton",33,"Armel Bella-Kotchap"
"GK",39,"Southampton",0,"Willy Caballero"
"MID",51,"Southampton",42,"Joe Aribo"
"FWD",53,"Southampton",20,"Sékou Mara"
"DEF",40,"Southampton",4,"Juan Larios"
"DEF",45,"Southampton",19,"Duje Caleta-Car"
"MID",47,"Southampton",21,"Samuel Edozie"
"MID",45,"Southampton",0,"Lewis Payne"
"MID",45,"Southampton",0,"Ryan Finnigan"
"FWD",45,"Southampton",0,"Jimmy Morgan"
"MID",52,"Southampton",1,"Mislav Orsic"
"MID",50,"Southampton",18,"Carlos Alcaraz"
"DEF",45,"Southampton",3,"James Bree"
"MID",50,"Southampton",10,"Kamaldeen Kamaldeen"
"FWD",55,"Southampton",6,"Paul Onuachu"
"GK",54,"Tottenham",82,"Hugo Lloris"
"GK",39,"Tottenham",17,"Fraser Forster"
"FWD",117,"Tottenham",163,"Harry Kane"
"MID",116,"Tottenham",88,"Son Son"
"DEF",46,"Tottenham",35,"Matt Doherty"
"DEF",51,"Tottenham",88,"Eric Dier"
"MID",58,"Tottenham",10,"Lucas Lucas Moura"
"DEF",48,"Tottenham",86,"Ben Davies"
"MID",55,"Tottenham",96,"Pierre-Emile Højbjerg"
"MID",44,"Tottenham",0,"Harry Winks"
"DEF",43,"Tottenham",22,"Davinson Sánchez"
"DEF",44,"Tottenham",35,"Ryan R.Sessegnon"
"MID",55,"Tottenham",0,"Steven Bergwijn"
"DEF",42,"Tottenham",0,"Sergio Reguilón"
"DEF",39,"Tottenham",2,"Japhet Tanganga"
"MID",54,"Tottenham",71,"Rodrigo Bentancur"
"MID",43,"Tottenham",22,"Oliver Skipp"
"DEF",40,"Tottenham",0,"Joe Rodon"
"DEF",49,"Tottenham",48,"Cristian Romero"
"MID",47,"Tottenham",23,"Yves Bissouma"
"DEF",50,"Tottenham",75,"Emerson Emerson Royal"
"MID",79,"Tottenham",70,"Dejan Kulusevski"
"FWD",45,"Tottenham",0,"Dane Scarlett"
"DEF",54,"Tottenham",73,"Ivan Perišić"
"MID",44,"Tottenham",1,"Harvey White"
"MID",42,"Tottenham",5,"Pape Matar Sarr"
"GK",39,"Tottenham",0,"Brandon Austin"
"MID",43,"Tottenham",0,"Alfie Devine"
"FWD",45,"Tottenham",0,"Troy Parrott"
"FWD",84,"Tottenham",30,"Richarlison Richarlison"
"DEF",48,"Tottenham",39,"Clément Lenglet"
"DEF",41,"Tottenham",4,"Djed Spence"
"MID",50,"Tottenham",9,"Bryan Bryan"
"MID",63,"Tottenham",1,"Arnaut Danjuma"
"DEF",48,"Tottenham",8,"Pedro Pedro Porro"
"FWD",64,"West Ham",76,"Danny Ings"
"GK",50,"West Ham",86,"Lukasz Fabianski"
"DEF",44,"West Ham",24,"Angelo Ogbonna"
"DEF",47,"West Ham",43,"Aaron Cresswell"
"FWD",70,"West Ham",53,"Michail Antonio"
"MID",51,"West Ham",7,"Manuel Lanzini"
"DEF",44,"West Ham",58,"Kurt Zouma"
"DEF",45,"West Ham",0,"Arthur Masuaku"
"DEF",41,"West Ham",35,"Vladimir Coufal"
"MID",55,"West Ham",64,"Saïd Benrahma"
"MID",80,"West Ham",92,"Jarrod Bowen"
"MID",50,"West Ham",0,"Nikola Vlasic"
"MID",47,"West Ham",77,"Declan Rice"
"MID",51,"West Ham",59,"Tomas Soucek"
"MID",49,"West Ham",44,"Pablo Fornals"
"DEF",44,"West Ham",26,"Ben Johnson"
"DEF",48,"West Ham",19,"Nayef Aguerd"
"GK",43,"West Ham",4,"Alphonse Areola"
"MID",42,"West Ham",17,"Flynn Downes"
"FWD",66,"West Ham",41,"Gianluca Scamacca"
"DEF",40,"West Ham",26,"Emerson Emerson"
"MID",44,"West Ham",1,"Conor Coventry"
"MID",44,"West Ham",0,"Armstrong Oko-Flex"
"MID",59,"West Ham",5,"Maxwel Cornet"
"DEF",44,"West Ham",39,"Thilo Kehrer"
"MID",59,"West Ham",55,"Lucas Paquetá"
"FWD",45,"West Ham",1,"Divin Mubama"
"GK",40,"West Ham",0,"Joseph Anang"
"GK",39,"West Ham",0,"Krisztián Hegyi"
"DEF",40,"West Ham",0,"Kaelan Casey"
"DEF",48,"Wolverhampton",44,"Craig Dawson"
"FWD",67,"Wolverhampton",22,"Raúl Jiménez"
"DEF",43,"Wolverhampton",40,"Jonathan Jonny"
"GK",50,"Wolverhampton",108,"José Sá"
"MID",54,"Wolverhampton",86,"Rúben Neves"
"MID",57,"Wolverhampton",27,"Hwang Hwang"
"DEF",50,"Wolverhampton",47,"Nélson Semedo"
"MID",53,"Wolverhampton",72,"Daniel Podence"
"DEF",44,"Wolverhampton",79,"Max Kilman"
"MID",44,"Wolverhampton",0,"Luke Cundle"
"MID",49,"Wolverhampton",19,"Pedro Neto"
"DEF",42,"Wolverhampton",40,"Rayan Aït-Nouri"
"FWD",55,"Wolverhampton",0,"Fabio Fabio Silva"
"DEF",39,"Wolverhampton",11,"Toti António Toti"
"MID",50,"Wolverhampton",0,"Francisco Jorge Chiquinho"
"MID",54,"Wolverhampton",50,"Adama Adama"
"GK",39,"Wolverhampton",0,"Matija Šarkić"
"DEF",39,"Wolverhampton",0,"Yerson Mosquera"
"MID",47,"Wolverhampton",49,"João Filipe Iria Moutinho"
"DEF",43,"Wolverhampton",43,"Nathan Collins"
"GK",39,"Wolverhampton",0,"Jackson Smith"
"DEF",39,"Wolverhampton",32,"Hugo Bueno"
"MID",44,"Wolverhampton",4,"Joseph Hodge"
"MID",44,"Wolverhampton",1,"Connor Ronan"
"MID",44,"Wolverhampton",5,"Chem Campbell"
"MID",58,"Wolverhampton",29,"Gonçalo Manuel Guedes"
"MID",48,"Wolverhampton",54,"Matheus Luiz Matheus"
"FWD",53,"Wolverhampton",1,"Sasa Kalajdžić"
"FWD",54,"Wolverhampton",15,"Diego Diego Costa"
"MID",43,"Wolverhampton",12,"Boubacar Traoré"
"FWD",45,"Wolverhampton",0,"Nathan Fraser"
"MID",44,"Wolverhampton",0,"Harvey Griffiths"
"DEF",40,"Wolverhampton",1,"Dexter Lembikisa"
"FWD",55,"Wolverhampton",10,"Matheus Cunha"
"MID",45,"Wolverhampton",8,"Mario Lemina"
"MID",55,"Wolverhampton",18,"Pablo Sarabia"
"GK",40,"Wolverhampton",0,"Daniel Bentley"
"MID",45,"Wolverhampton",9,"João Victor João Gomes"
